id,name,sectype,currency,exchange,minvol,maxvol,meanvol,medianvol
342,ALTG,,,,0.0278931,1.23211,0.54645,0.59818
343,ALTL,,,,0.134978,0.476367,0.251762,0.179857
344,ALTM,,,,0.312675,12.1801,1.60014,0.724724
345,ALTR,,,,0.219185,1.0844,0.455967,0.393696
346,ALTS,,,,0.0265636,0.35572,0.0759242,0.0659615
347,ALTY,,,,0.0390982,1.15973,0.154329,0.0958676
348,ALU.W,,,,,,,
349,ALUS,,,,0.0291155,0.214335,0.097901,0.0785279
350,ALV,,,,0.0912977,1.15861,0.310512,0.276753
351,ALVR,,,,0.816522,1.45438,1.15415,1.15372
352,ALX,,,,0.0391434,1.6162,0.254915,0.199308
353,ALXN,,,,0.109869,2.32318,0.48961,0.396832
354,ALXO,,,,0.481901,1.04428,0.701634,0.622599
355,ALYA,,,,0.264004,1.68128,0.740013,0.661421
356,AM,,,,0.166166,1.88552,0.481553,0.371485
357,AMAL,,,,,,,
358,AMAT,,,,0.147632,2.29403,0.443095,0.351668
359,AMB.W,,,,,,,
360,AMBA,,,,0.16194,1.41767,0.540786,0.509881
361,AMBC,,,,0.0792203,13.7559,0.596387,0.297754
362,AMBO,,,,,,,
363,AMC,,,,0.11613,2.26687,0.501734,0.405458
364,AMCI,,,,0.0186088,0.701817,0.161173,0.0803519
365,AMCIU,,,,0.0253212,1.07353,0.219493,0.062926
366,AMCIW,,,,,,,
367,AMCR,,,,0.168326,1.03208,0.394822,0.330901
368,AMCX,,,,0.122285,1.15618,0.318493,0.286152
369,AMD,,,,0.181108,1.3679,0.588623,0.578555
370,AME,,,,0.0746257,2.00116,0.290336,0.242744
371,AMED,,,,0.142205,2.77518,0.597989,0.470496
372,AMEH,,,,0.225726,10.0965,1.38603,0.938367
373,AMER,,,,,,,
374,AMG,,,,0.105906,1.55365,0.362705,0.299296
375,AMGN,,,,0.115902,2.08328,0.319073,0.264729
376,AMH,,,,0.0789253,2.26233,0.242137,0.172236
377,AMHC,,,,0.0534639,0.277514,0.159221,0.143223
378,AMHCW,,,,,,,
379,AMH-D,,,,,,,
380,AMH-E,,,,,,,
381,AMH-F,,,,,,,
382,AMH-G,,,,,,,
383,AMH-H,,,,,,,
384,AMJ,,,,0.0678713,1.47025,0.236731,0.18943
385,AMK,,,,0.194459,1.36826,0.469144,0.396654
386,AMKR,,,,0.150329,2.2158,0.636122,0.576347
387,AMLP,,,,0.0397073,1.38621,0.206285,0.145019
388,AMN,,,,0.10892,2.1116,0.432624,0.367344
389,AMNA,,,,0.206054,0.60666,0.291653,0.28799
390,AMNB,,,,0.0658644,1.89893,0.328691,0.259415
391,AMND,,,,0.266277,0.376994,0.318498,0.318214
392,AMOM,,,,0.197096,0.758842,0.364246,0.31797
393,AMOT,,,,0.119039,3.26474,0.688248,0.55965
394,AMOV,,,,0.129022,3.25383,0.396441,0.335022
395,AMP,,,,0.0855537,1.82619,0.348588,0.268534
396,AMPE,,,,0.312069,4.19968,0.961506,0.825667
397,AMPH,,,,0.176721,0.987306,0.404903,0.366137
